"rgn_id","product","year","tonnes_rel"
5,"corals",1995,0.341880341880342
9,"corals",1995,0.341880341880342
8,"corals",1995,0.341880341880342
2,"corals",1995,0.341880341880342
4,"corals",1995,0.341880341880342
6,"corals",1995,0.341880341880342
12,"corals",1995,0.341880341880342
10,"corals",1995,0.341880341880342
1,"corals",1995,0.341880341880342
11,"corals",1995,0.341880341880342
7,"corals",1995,0.341880341880342
3,"corals",1995,0.341880341880342
5,"corals",1996,0.32051282051282
9,"corals",1996,0.32051282051282
8,"corals",1996,0.32051282051282
2,"corals",1996,0.32051282051282
4,"corals",1996,0.32051282051282
6,"corals",1996,0.32051282051282
12,"corals",1996,0.32051282051282
10,"corals",1996,0.32051282051282
1,"corals",1996,0.32051282051282
11,"corals",1996,0.32051282051282
7,"corals",1996,0.32051282051282
3,"corals",1996,0.32051282051282
5,"corals",1997,0.32051282051282
9,"corals",1997,0.32051282051282
8,"corals",1997,0.32051282051282
2,"corals",1997,0.32051282051282
4,"corals",1997,0.32051282051282
6,"corals",1997,0.32051282051282
12,"corals",1997,0.32051282051282
10,"corals",1997,0.32051282051282
1,"corals",1997,0.32051282051282
11,"corals",1997,0.32051282051282
7,"corals",1997,0.32051282051282
3,"corals",1997,0.32051282051282
5,"corals",1998,0.256410256410256
9,"corals",1998,0.256410256410256
8,"corals",1998,0.256410256410256
2,"corals",1998,0.256410256410256
4,"corals",1998,0.256410256410256
6,"corals",1998,0.256410256410256
12,"corals",1998,0.256410256410256
10,"corals",1998,0.256410256410256
1,"corals",1998,0.256410256410256
11,"corals",1998,0.256410256410256
7,"corals",1998,0.256410256410256
3,"corals",1998,0.256410256410256
5,"corals",1999,0.192307692307692
9,"corals",1999,0.192307692307692
8,"corals",1999,0.192307692307692
2,"corals",1999,0.192307692307692
4,"corals",1999,0.192307692307692
6,"corals",1999,0.192307692307692
12,"corals",1999,0.192307692307692
10,"corals",1999,0.192307692307692
1,"corals",1999,0.192307692307692
11,"corals",1999,0.192307692307692
7,"corals",1999,0.192307692307692
3,"corals",1999,0.192307692307692
5,"corals",2000,0.128205128205128
9,"corals",2000,0.128205128205128
8,"corals",2000,0.128205128205128
2,"corals",2000,0.128205128205128
4,"corals",2000,0.128205128205128
6,"corals",2000,0.128205128205128
12,"corals",2000,0.128205128205128
10,"corals",2000,0.128205128205128
1,"corals",2000,0.128205128205128
11,"corals",2000,0.128205128205128
7,"corals",2000,0.128205128205128
3,"corals",2000,0.128205128205128
5,"corals",2001,0.833333333333333
9,"corals",2001,0.833333333333333
8,"corals",2001,0.833333333333333
2,"corals",2001,0.833333333333333
4,"corals",2001,0.833333333333333
6,"corals",2001,0.833333333333333
12,"corals",2001,0.833333333333333
10,"corals",2001,0.833333333333333
1,"corals",2001,0.833333333333333
11,"corals",2001,0.833333333333333
7,"corals",2001,0.833333333333333
3,"corals",2001,0.833333333333333
5,"corals",2002,1
9,"corals",2002,1
8,"corals",2002,1
2,"corals",2002,1
4,"corals",2002,1
6,"corals",2002,1
12,"corals",2002,1
10,"corals",2002,1
1,"corals",2002,1
11,"corals",2002,1
7,"corals",2002,1
3,"corals",2002,1
5,"corals",2003,1
9,"corals",2003,1
8,"corals",2003,1
2,"corals",2003,1
4,"corals",2003,1
6,"corals",2003,1
