rgn_id,product,year,tonnes
1,corals,1995,1
1,corals,1996,1
1,corals,1997,1.33333333333333
1,corals,1998,1.25
1,corals,1999,1.25
1,corals,2000,1.025
1,corals,2001,0.775
1,corals,2002,0.55
1,corals,2003,3.3
1,corals,2004,4.025
1,corals,2005,6.025
1,corals,2006,6.025
1,corals,2007,3.05
1,corals,2008,2.3
1,corals,2009,0.075
1,corals,2010,0.05
1,corals,2011,0.025
1,fish_oil,1981,1
1,fish_oil,1982,0.5
1,fish_oil,1983,0.333333333333333
1,fish_oil,1984,0.25
1,fish_oil,1985,0
1,fish_oil,1986,0
1,fish_oil,1987,0
1,fish_oil,1988,0
1,fish_oil,1989,0
1,fish_oil,1990,0
1,fish_oil,1991,0
1,fish_oil,1992,0.75
1,fish_oil,1993,4
1,fish_oil,1994,4.5
1,fish_oil,1995,4.775
1,fish_oil,1996,4.8
1,fish_oil,1997,6.325
1,fish_oil,1998,14.575
1,fish_oil,1999,14.35
1,fish_oil,2000,13.85
1,fish_oil,2001,10.1
1,fish_oil,2002,2.1
1,fish_oil,2003,2.575
1,fish_oil,2004,3.3
1,fish_oil,2005,3.775
1,fish_oil,2006,4.775
1,fish_oil,2007,9.275
1,fish_oil,2008,16.05
1,fish_oil,2009,46.575
1,fish_oil,2010,92.325
1,fish_oil,2011,88.05
1,ornamentals,1976,164
1,ornamentals,1977,190.5
1,ornamentals,1978,242.333333333333
1,ornamentals,1979,249.25
1,ornamentals,1980,262.5
1,ornamentals,1981,259.5
1,ornamentals,1982,209.5
1,ornamentals,1983,165.5
1,ornamentals,1984,131.25
1,ornamentals,1985,143.25
1,ornamentals,1986,204
1,ornamentals,1987,241.5
1,ornamentals,1988,290.75
1,ornamentals,1989,294
1,ornamentals,1990,252.25
1,ornamentals,1991,449.75
1,ornamentals,1992,415.25
1,ornamentals,1993,392.25
1,ornamentals,1994,368.5
1,ornamentals,1995,143.75
1,ornamentals,1996,149.25
1,ornamentals,1997,135.75
1,ornamentals,1998,135.25
1,ornamentals,1999,144
1,ornamentals,2000,139
1,ornamentals,2001,139.25
1,ornamentals,2002,149.5
1,ornamentals,2003,148.5
1,ornamentals,2004,166.5
1,ornamentals,2005,196
1,ornamentals,2006,228
1,ornamentals,2007,322
1,ornamentals,2008,349
1,ornamentals,2009,402.25
1,ornamentals,2010,420.75
1,ornamentals,2011,425
1,seaweeds,1998,0.1
1,seaweeds,1999,0.1
1,seaweeds,2000,0.1
1,seaweeds,2001,0.1
1,seaweeds,2002,0.1
1,seaweeds,2003,0.1
1,seaweeds,2004,0.1
1,seaweeds,2005,0.325
1,seaweeds,2006,0.325
1,seaweeds,2007,0.3
1,seaweeds,2008,0.275
1,seaweeds,2009,0.05
1,seaweeds,2010,0.05
1,seaweeds,2011,0.05
1,sponges,2007,19
1,sponges,2008,45.5
1,sponges,2009,32.3333333333333
1,sponges,2010,27.5
1,sponges,2011,28.25
2,corals,1995,1
2,corals,1996,1
2,corals,1997,1.33333333333333
2,corals,1998,1.25
2,corals,1999,1.25
2,corals,2000,1.025
2,corals,2001,0.775
2,corals,2002,0.55
2,corals,2003,3.3
2,corals,2004,4.025
2,corals,2005,6.025
2,corals,2006,6.025
2,corals,2007,3.05
2,corals,2008,2.3
2,corals,2009,0.075
2,corals,2010,0.05
2,corals,2011,0.025
2,fish_oil,1981,1
2,fish_oil,1982,0.5
2,fish_oil,1983,0.333333333333333
2,fish_oil,1984,0.25
2,fish_oil,1985,0
2,fish_oil,1986,0
2,fish_oil,1987,0
2,fish_oil,1988,0
2,fish_oil,1989,0
2,fish_oil,1990,0
2,fish_oil,1991,0
2,fish_oil,1992,0.75
2,fish_oil,1993,4
2,fish_oil,1994,4.5
2,fish_oil,1995,4.775
2,fish_oil,1996,4.8
2,fish_oil,1997,6.325
2,fish_oil,1998,14.575
2,fish_oil,1999,14.35
2,fish_oil,2000,13.85
2,fish_oil,2001,10.1
2,fish_oil,2002,2.1
2,fish_oil,2003,2.575
2,fish_oil,2004,3.3
2,fish_oil,2005,3.775
2,fish_oil,2006,4.775
2,fish_oil,2007,9.275
2,fish_oil,2008,16.05
