"rgn_id","product","year","usd_rel"
5,"corals",1995,0.395427865307383
9,"corals",1995,0.395427865307383
8,"corals",1995,0.395427865307383
2,"corals",1995,0.395427865307383
4,"corals",1995,0.395427865307383
6,"corals",1995,0.395427865307383
12,"corals",1995,0.395427865307383
10,"corals",1995,0.395427865307383
1,"corals",1995,0.395427865307383
11,"corals",1995,0.395427865307383
7,"corals",1995,0.395427865307383
3,"corals",1995,0.395427865307383
5,"corals",1996,0.46339202965709
9,"corals",1996,0.46339202965709
8,"corals",1996,0.46339202965709
2,"corals",1996,0.46339202965709
4,"corals",1996,0.46339202965709
6,"corals",1996,0.46339202965709
12,"corals",1996,0.46339202965709
10,"corals",1996,0.46339202965709
1,"corals",1996,0.46339202965709
11,"corals",1996,0.46339202965709
7,"corals",1996,0.46339202965709
3,"corals",1996,0.46339202965709
5,"corals",1997,0.500463392029657
9,"corals",1997,0.500463392029657
8,"corals",1997,0.500463392029657
2,"corals",1997,0.500463392029657
4,"corals",1997,0.500463392029657
6,"corals",1997,0.500463392029657
12,"corals",1997,0.500463392029657
10,"corals",1997,0.500463392029657
1,"corals",1997,0.500463392029657
11,"corals",1997,0.500463392029657
7,"corals",1997,0.500463392029657
3,"corals",1997,0.500463392029657
5,"corals",1998,0.46339202965709
9,"corals",1998,0.46339202965709
8,"corals",1998,0.46339202965709
2,"corals",1998,0.46339202965709
4,"corals",1998,0.46339202965709
6,"corals",1998,0.46339202965709
12,"corals",1998,0.46339202965709
10,"corals",1998,0.46339202965709
1,"corals",1998,0.46339202965709
11,"corals",1998,0.46339202965709
7,"corals",1998,0.46339202965709
3,"corals",1998,0.46339202965709
5,"corals",1999,0.407784986098239
9,"corals",1999,0.407784986098239
8,"corals",1999,0.407784986098239
2,"corals",1999,0.407784986098239
4,"corals",1999,0.407784986098239
6,"corals",1999,0.407784986098239
12,"corals",1999,0.407784986098239
10,"corals",1999,0.407784986098239
1,"corals",1999,0.407784986098239
11,"corals",1999,0.407784986098239
7,"corals",1999,0.407784986098239
3,"corals",1999,0.407784986098239
5,"corals",2000,0.25949953660797
9,"corals",2000,0.25949953660797
8,"corals",2000,0.25949953660797
2,"corals",2000,0.25949953660797
4,"corals",2000,0.25949953660797
6,"corals",2000,0.25949953660797
12,"corals",2000,0.25949953660797
10,"corals",2000,0.25949953660797
1,"corals",2000,0.25949953660797
11,"corals",2000,0.25949953660797
7,"corals",2000,0.25949953660797
3,"corals",2000,0.25949953660797
5,"corals",2001,0.574606116774791
9,"corals",2001,0.574606116774791
8,"corals",2001,0.574606116774791
2,"corals",2001,0.574606116774791
4,"corals",2001,0.574606116774791
6,"corals",2001,0.574606116774791
12,"corals",2001,0.574606116774791
10,"corals",2001,0.574606116774791
1,"corals",2001,0.574606116774791
11,"corals",2001,0.574606116774791
7,"corals",2001,0.574606116774791
3,"corals",2001,0.574606116774791
5,"corals",2002,0.92678405931418
9,"corals",2002,0.92678405931418
8,"corals",2002,0.92678405931418
2,"corals",2002,0.92678405931418
4,"corals",2002,0.92678405931418
6,"corals",2002,0.92678405931418
12,"corals",2002,0.92678405931418
10,"corals",2002,0.92678405931418
1,"corals",2002,0.92678405931418
11,"corals",2002,0.92678405931418
7,"corals",2002,0.92678405931418
3,"corals",2002,0.92678405931418
5,"corals",2003,1
9,"corals",2003,1
8,"corals",2003,1
2,"corals",2003,1
4,"corals",2003,1
6,"corals",2003,1
12,"corals",2003,1
10,"corals",2003,1
1,"corals",2003,1
11,"corals",2003,1
7,"corals",2003,1
3,"corals",2003,1
5,"corals",2004,1
9,"corals",2004,1
8,"corals",2004,1
2,"corals",2004,1
4,"corals",2004,1
6,"corals",2004,1
12,"corals",2004,1
10,"corals",2004,1
1,"corals",2004,1
11,"corals",2004,1
7,"corals",2004,1
3,"corals",2004,1
5,"corals",2005,1
9,"corals",2005,1
8,"corals",2005,1
2,"corals",2005,1
4,"corals",2005,1
6,"corals",2005,1
12,"corals",2005,1
10,"corals",2005,1
1,"corals",2005,1
11,"corals",2005,1
7,"corals",2005,1
3,"corals",2005,1
5,"corals",2006,0.778498609823911
9,"corals",2006,0.778498609823911
8,"corals",2006,0.778498609823911
2,"corals",2006,0.778498609823911
4,"corals",2006,0.778498609823911
6,"corals",2006,0.778498609823911
12,"corals",2006,0.778498609823911
10,"corals",2006,0.778498609823911
1,"corals",2006,0.778498609823911
11,"corals",2006,0.778498609823911
7,"corals",2006,0.778498609823911
3,"corals",2006,0.778498609823911
5,"corals",2007,0.0185356811862836
9,"corals",2007,0.0185356811862836
8,"corals",2007,0.0185356811862836
2,"corals",2007,0.0185356811862836
4,"corals",2007,0.0185356811862836
6,"corals",2007,0.0185356811862836
12,"corals",2007,0.0185356811862836
10,"corals",2007,0.0185356811862836
1,"corals",2007,0.0185356811862836
11,"corals",2007,0.0185356811862836
7,"corals",2007,0.0185356811862836
3,"corals",2007,0.0185356811862836
5,"corals",2008,0
9,"corals",2008,0
8,"corals",2008,0
2,"corals",2008,0
4,"corals",2008,0
6,"corals",2008,0
12,"corals",2008,0
10,"corals",2008,0
1,"corals",2008,0
11,"corals",2008,0
7,"corals",2008,0
3,"corals",2008,0
5,"corals",2009,0
9,"corals",2009,0
8,"corals",2009,0
2,"corals",2009,0
4,"corals",2009,0
6,"corals",2009,0
12,"corals",2009,0
10,"corals",2009,0
1,"corals",2009,0
11,"corals",2009,0
7,"corals",2009,0
3,"corals",2009,0
5,"corals",2010,0
9,"corals",2010,0
8,"corals",2010,0
2,"corals",2010,0
4,"corals",2010,0
6,"corals",2010,0
12,"corals",2010,0
10,"corals",2010,0
1,"corals",2010,0
11,"corals",2010,0
7,"corals",2010,0
3,"corals",2010,0
5,"corals",2011,0
