rgn_id,product,year,tonnes_rel
1,corals,1995,0.2553463134376
1,corals,1996,0.2553463134376
1,corals,1997,0.340461751250133
1,corals,1998,0.319182891797
1,corals,1999,0.319182891797
1,corals,2000,0.26172997127354
1,corals,2001,0.19789339291414
1,corals,2002,0.14044047239068
1,corals,2003,0.842642834344079
1,corals,2004,1
1,corals,2005,1
1,corals,2006,1
1,corals,2007,0.778806255984679
1,corals,2008,0.587296520906479
1,corals,2009,0.01915097350782
1,corals,2010,0.01276731567188
1,corals,2011,0.00638365783593999
1,fish_oil,1981,0.0166635422524943
1,fish_oil,1982,0.00833177112624716
1,fish_oil,1983,0.00555451408416477
1,fish_oil,1984,0.00416588556312358
1,fish_oil,1985,0
1,fish_oil,1986,0
1,fish_oil,1987,0
1,fish_oil,1988,0
1,fish_oil,1989,0
1,fish_oil,1990,0
1,fish_oil,1991,0
1,fish_oil,1992,0.0124976566893707
1,fish_oil,1993,0.0666541690099773
1,fish_oil,1994,0.0749859401362244
1,fish_oil,1995,0.0795684142556604
1,fish_oil,1996,0.0799850028119728
1,fish_oil,1997,0.105396904747027
1,fish_oil,1998,0.242871128330105
1,fish_oil,1999,0.239121831323294
1,fish_oil,2000,0.230790060197046
1,fish_oil,2001,0.168301776750193
1,fish_oil,2002,0.0349934387302381
1,fish_oil,2003,0.0429086213001729
1,fish_oil,2004,0.0549896894332313
1,fish_oil,2005,0.0629048720031661
1,fish_oil,2006,0.0795684142556604
1,fish_oil,2007,0.154554354391885
1,fish_oil,2008,0.267449853152534
1,fish_oil,2009,0.776104480409923
1,fish_oil,2010,1
1,fish_oil,2011,1
1,ornamentals,1976,0.560995424808654
1,ornamentals,1977,0.651644075768589
1,ornamentals,1978,0.828950556577016
1,ornamentals,1979,0.85261042459486
1,ornamentals,1980,0.897934750074828
1,ornamentals,1981,0.887672638645401
1,ornamentals,1982,0.716637448154958
1,ornamentals,1983,0.566126480523368
1,ornamentals,1984,0.448967375037414
1,ornamentals,1985,0.49001582075512
1,ornamentals,1986,0.697823577201009
1,ornamentals,1987,0.826099970068842
1,ornamentals,1988,0.994569632701928
1,ornamentals,1989,1
1,ornamentals,1990,0.862872536024287
1,ornamentals,1991,1
1,ornamentals,1992,1
1,ornamentals,1993,1
1,ornamentals,1994,1
1,ornamentals,1995,0.491726172660025
1,ornamentals,1996,0.510540043613974
1,ornamentals,1997,0.464360542181554
1,ornamentals,1998,0.462650190276649
1,ornamentals,1999,0.492581348612477
1,ornamentals,2000,0.475477829563433
1,ornamentals,2001,0.476333005515885
1,ornamentals,2002,0.511395219566426
1,ornamentals,2003,0.507974515756617
1,ornamentals,2004,0.569547184333177
1,ornamentals,2005,0.670457946722538
1,ornamentals,2006,0.779920468636422
1,ornamentals,2007,1
1,ornamentals,2008,1
1,ornamentals,2009,1
1,ornamentals,2010,1
1,ornamentals,2011,1
1,seaweeds,1998,0.473372781065089
1,seaweeds,1999,0.473372781065089
1,seaweeds,2000,0.473372781065089
1,seaweeds,2001,0.473372781065089
1,seaweeds,2002,0.473372781065089
1,seaweeds,2003,0.473372781065089
1,seaweeds,2004,0.473372781065089
1,seaweeds,2005,1
1,seaweeds,2006,1
1,seaweeds,2007,1
1,seaweeds,2008,1
1,seaweeds,2009,0.236686390532544
1,seaweeds,2010,0.236686390532544
1,seaweeds,2011,0.236686390532544
1,sponges,2007,0.642434488588335
1,sponges,2008,1
1,sponges,2009,1
1,sponges,2010,0.929839391377853
1,sponges,2011,0.95519864750634
2,corals,1995,0.2553463134376
2,corals,1996,0.2553463134376
2,corals,1997,0.340461751250133
2,corals,1998,0.319182891797
2,corals,1999,0.319182891797
2,corals,2000,0.26172997127354
2,corals,2001,0.19789339291414
2,corals,2002,0.14044047239068
2,corals,2003,0.842642834344079
2,corals,2004,1
2,corals,2005,1
2,corals,2006,1
2,corals,2007,0.778806255984679
2,corals,2008,0.587296520906479
2,corals,2009,0.01915097350782
2,corals,2010,0.01276731567188
2,corals,2011,0.00638365783593999
2,fish_oil,1981,0.0166635422524943
2,fish_oil,1982,0.00833177112624716
2,fish_oil,1983,0.00555451408416477
2,fish_oil,1984,0.00416588556312358
2,fish_oil,1985,0
2,fish_oil,1986,0
2,fish_oil,1987,0
2,fish_oil,1988,0
2,fish_oil,1989,0
2,fish_oil,1990,0
2,fish_oil,1991,0
2,fish_oil,1992,0.0124976566893707
2,fish_oil,1993,0.0666541690099773
2,fish_oil,1994,0.0749859401362244
2,fish_oil,1995,0.0795684142556604
2,fish_oil,1996,0.0799850028119728
2,fish_oil,1997,0.105396904747027
2,fish_oil,1998,0.242871128330105
2,fish_oil,1999,0.239121831323294
2,fish_oil,2000,0.230790060197046
2,fish_oil,2001,0.168301776750193
2,fish_oil,2002,0.0349934387302381
2,fish_oil,2003,0.0429086213001729
2,fish_oil,2004,0.0549896894332313
2,fish_oil,2005,0.0629048720031661
2,fish_oil,2006,0.0795684142556604
2,fish_oil,2007,0.154554354391885
2,fish_oil,2008,0.267449853152534
2,fish_oil,2009,0.776104480409923
2,fish_oil,2010,1
