"rgn_id","habitat","trend"
5,"seagrass",-0.725000000222484
9,"seagrass",-0.725000000222484
8,"seagrass",-0.725000000222484
2,"seagrass",-0.725000000222484
4,"seagrass",-0.725000000222484
6,"seagrass",-0.725000000222484
12,"seagrass",-0.725000000222484
10,"seagrass",-0.725000000222484
1,"seagrass",-0.725000000222484
11,"seagrass",-0.725000000222484
7,"seagrass",-0.725000000222484
3,"seagrass",-0.725000000222484
5,"mangrove",-1
9,"mangrove",-1
8,"mangrove",-1
2,"mangrove",-1
4,"mangrove",-1
6,"mangrove",-1
12,"mangrove",-1
10,"mangrove",-1
1,"mangrove",-1
11,"mangrove",-1
7,"mangrove",-1
3,"mangrove",-1
5,"coral",-0.0093518584187365
9,"coral",-0.0093518584187365
8,"coral",-0.0093518584187365
2,"coral",-0.0093518584187365
4,"coral",-0.0093518584187365
6,"coral",-0.0093518584187365
12,"coral",-0.0093518584187365
10,"coral",-0.0093518584187365
1,"coral",-0.0093518584187365
11,"coral",-0.0093518584187365
7,"coral",-0.0093518584187365
3,"coral",-0.0093518584187365
5,"soft_bottom",0.006092558006501
9,"soft_bottom",0.006092558006501
8,"soft_bottom",0.006092558006501
2,"soft_bottom",0.006092558006501
4,"soft_bottom",0.006092558006501
6,"soft_bottom",0.006092558006501
12,"soft_bottom",0.006092558006501
10,"soft_bottom",0.006092558006501
1,"soft_bottom",0.006092558006501
11,"soft_bottom",0.006092558006501
7,"soft_bottom",0.006092558006501
3,"soft_bottom",0.006092558006501
