"rgn_id","product","year","gap_fill"
1,"corals",1995,0
1,"corals",1996,0
1,"corals",1997,0
1,"corals",1998,0
1,"corals",1999,0
1,"corals",2000,0
1,"corals",2001,0
1,"corals",2002,0
1,"corals",2003,0
1,"corals",2004,0
1,"corals",2005,0
1,"corals",2006,0
1,"corals",2007,0
1,"corals",2008,0
1,"corals",2009,0
1,"corals",2010,0
1,"corals",2011,0
2,"corals",1995,0
2,"corals",1996,0
2,"corals",1997,0
2,"corals",1998,0
2,"corals",1999,0
2,"corals",2000,0
2,"corals",2001,0
2,"corals",2002,0
2,"corals",2003,0
2,"corals",2004,0
2,"corals",2005,0
2,"corals",2006,0
2,"corals",2007,0
2,"corals",2008,0
2,"corals",2009,0
2,"corals",2010,0
2,"corals",2011,0
3,"corals",1995,0
3,"corals",1996,0
3,"corals",1997,0
3,"corals",1998,0
3,"corals",1999,0
3,"corals",2000,0
3,"corals",2001,0
3,"corals",2002,0
3,"corals",2003,0
3,"corals",2004,0
3,"corals",2005,0
3,"corals",2006,0
3,"corals",2007,0
3,"corals",2008,0
3,"corals",2009,0
3,"corals",2010,0
3,"corals",2011,0
1,"seaweeds",1998,0
1,"seaweeds",1999,0
1,"seaweeds",2000,0
1,"seaweeds",2001,0
1,"seaweeds",2002,0
1,"seaweeds",2003,0
1,"seaweeds",2004,0
1,"seaweeds",2005,0
1,"seaweeds",2006,0
1,"seaweeds",2007,0
1,"seaweeds",2008,0
1,"seaweeds",2009,0
1,"seaweeds",2010,0
1,"seaweeds",2011,0
2,"seaweeds",1998,0
2,"seaweeds",1999,0
2,"seaweeds",2000,0
2,"seaweeds",2001,0
2,"seaweeds",2002,0
2,"seaweeds",2003,0
2,"seaweeds",2004,0
2,"seaweeds",2005,0
2,"seaweeds",2006,0
2,"seaweeds",2007,0
2,"seaweeds",2008,0
2,"seaweeds",2009,0
2,"seaweeds",2010,0
2,"seaweeds",2011,0
3,"seaweeds",1998,0
3,"seaweeds",1999,0
3,"seaweeds",2000,0
3,"seaweeds",2001,0
3,"seaweeds",2002,0
3,"seaweeds",2003,0
3,"seaweeds",2004,0
3,"seaweeds",2005,0
3,"seaweeds",2006,0
3,"seaweeds",2007,0
3,"seaweeds",2008,0
3,"seaweeds",2009,0
